List of all schools sorted by school number (Includes closed schools),,,
The information in this document is up to date as at 31 August 2022,,,
,,,
Number,Closed,Name of School,Notes Or Old Name
1929,,Te Kura Kaupapa Maori O Rotoiti,
1930,,Rotokauri School,
1931,,Rotokawa School,
1932,*,Rotongaro School,
1933,,Rotorua Intermediate,
1934,,Rotorua School,
1935,,Ficino School,
1936,*,Ruatoki Bilingual School,
1937,,Ruawaro Combined School,
1938,,Rukuhia School,
1939,,Selwyn School,
1940,,Silverdale Normal School,
1941,,Springdale School,
1942,,Hamilton Junior High School,St Andrew's Middle School (Hamilton)
1943,,St Anthony's Catholic School (Huntly),
1944,,St Columba's Catholic School (Frankton),
1945,,St Francis School (Thames),
1946,,St Joseph's Catholic School (Fairfield),
1947,,St Joseph's Catholic School (Matamata),
1948,,St Joseph's Catholic School (Matata),
1949,,St Joseph's Catholic School (Morrinsville),St Joseph's Catholic Sch (Morrinsville)
1950,,St Joseph's Catholic School (Opotiki),
1951,,St Joseph's Catholic School (Paeroa),
1952,,St Joseph's Catholic School (Te Aroha),
1953,,St Joseph's Catholic School (Te Kuiti),
1954,,St Joseph's Catholic School (Waihi),
1955,,St Joseph's Catholic School (Whakatane),
1956,*,St.Mary's School (Hamilton),
1957,,St Mary's Catholic School (Putaruru),
1958,,St Mary's Catholic School (Rotorua),
1959,,St Mary's Catholic School (Tauranga),
1960,,St Michael's Catholic School (Rotorua),
1961,,St Patrick's Catholic School (Taumarunui),St Patrick's Catholic Sch (Taumarunui)
1962,,St Patrick's Catholic School (Te Awamutu),St Patrick's Catholic Sch (Te Awamutu)
1963,,St Paul's Catholic School (Ngaruawahia),
1964,,St Peter Chanel Catholic School (Te Rapa),St Peter Chanel Catholic Sch (Te Rapa)
1965,,St Peter's Catholic School (Cambridge),
1966,,St Pius X Catholic School (Melville),
1967,,Stanley Avenue School,
1968,,Strathmore School,
1969,*,Sunset Junior High School,
1970,,Sunset Primary School,
1971,,Te Kura o Tahaaroa,Taharoa School
1972,,Tahuna School,
1973,*,Taihoa School,
1974,,Tainui Full Primary School,
1975,,Tairua School,
1976,,Tamahere Model Country School,
1977,*,Tamariki Special School,
1978,,Taneatua School,
1979,*,Tapapa School,
1980,,Tapu School,
1981,*,Taringamotu School,
1982,,Tarrangower School,
1983,,Tatuanui School,
1984,,Tauhara School,
1985,,Tauhei Combined School,
1986,,Taumarunui Primary School,
1987,,Taupiri School,
1988,,Taupo Intermediate,
1989,,Taupo School,
1990,,Tauranga Intermediate,
1991,,Tauranga Primary School,Tauranga School
1992,,Gate Pa School,Tauranga South School
1993,*,Tauranga Taupo School,
1994,,Tauriko School,
1995,,Tauwhare School,
1996,,Tawera Bilingual School,
1997,*,Tawhiuau School,
1998,,Te Akau School,
1999,,Te Aroha Primary School,
2000,*,Te Aroha West School,
2001,,Te Awamutu Intermediate,
2002,,Te Awamutu Primary School,
2003,*,Te Hiranui Special School,
2004,*,Te Hoe School,
2005,,Te Kauwhata Primary School,
2006,*,Te Kawa School,
2007,,Te Kowhai School,
2008,,Te Kuiti Primary School,
2009,,Te Mahoe School,
2010,,Te Mata School (Raglan),
2011,,Te Kura Kaupapa Maori O Te Matai,
2012,,Te Miro School,
2013,,Te Pahu School,
2014,,Te Poi School,
2015,,Te Puke Intermediate,
2016,,Te Puke Primary School,
2017,,Te Puna School,
2018,*,Te Puninga School,
2019,,Te Ranga School,
2020,,Te Rapa School,
2021,,Te Rerenga School,
2022,*,Portland House Montessori School,
2023,,Te Kura o Te Teko,Te Teko School
2024,,Te Uku School,
2025,,Te Waotu School,
2026,*,Te Whaiti School,
2027,,Thames South School,
2028,,Thornton School,
2029,*,Tihiroa School,
2030,*,Tihoi School,
2031,,Tirau Primary School,
2032,,Tirohanga School,
2033,,Tirohia School,
2034,*,Tokanui Special School,
2035,,Tokoroa Central School,
2036,*,Tokoroa East School,
2037,,Tokoroa Intermediate,
2038,,Tokoroa North School,
2039,*,Nga Kahukura A Torerenuiarua,Torere School
2040,,Turaki School,
2041,*,Turanga-O-Moana School,
2042,*,Turangi School,
2043,,Turua Primary School,
2044,,Upper Atiamuri School,
2045,,Vardon School,
2046,,Waerenga School,
2047,,Te Kura o Waharoa,Waharoa School
2048,,Waihi Beach School,
2049,,Waihi East School,
2050,,Waihi Central School,Waihi South School
2051,*,Waihou School,(Merged into 1713)
2052,,Waikaretu School,
2053,*,Waikeria School,
2054,,Waikino School,
2055,,Waikite Valley School,
2056,*,Waikokowai School,
2057,,Waimana School,
2058,,Waimata School,
2059,*,Waimiha School,
2060,,Waingaro School,
2061,,Te Kura O Waioweka,Te Kura Kaupapa Maori O Waioweka
2062,,Te Kura Maori-a-Rohe o Waiohau,Te Kura Kaupapa Maori O Waiohau
2063,,Waiotahe Valley School,
2064,,Waipa School,
2065,,Waipahihi School,
2066,,Wairakei School,
2067,*,Wairata School,
2068,,Te Kura o Waitahanui,Waitahanui Bilingual School
2069,,Waitakaruru School,
2070,*,Waiterimu School,
2071,,Waitetuna School,
2072,*,Waitoa School,
2073,,Waitomo Caves School,
2074,,Walton School,
2075,,Wairere School,Wardville School
2076,,Welcome Bay School,
2077,,Westbrook School,
2078,,Western Heights Primary School (Rotorua),Western Heights School (Rotorua)
2079,,Whakamarama School,
2080,,Whakamaru School,
2081,,Whakarewarewa School,Te Kura o Te Whakarewarewa Whakarewarewa School
2082,,Whakatane Intermediate,
2083,,Whangamarino School,
2084,,Te Kura Mana Maori o Whangaparaoa,Whangaparaoa School (Opotiki)
2085,,ACG Parnell College,ACG Junior College; previously Junior College of New Zealand
2086,,Wharepapa South School,
2087,,Whatawhata School,
2088,,Whenuakite School,
2089,*,Whitehall School,
2090,,Whitikahu School,
2091,,Whitiora School,
2092,,Woodlands School (Opotiki),
2093,,Woodstock School,
2094,,Marian Catholic School (Hamilton),
2095,,Kaponga School,
2096,,Crawshaw School,
2097,,Manaia School (Taranaki),
2098,,Matapu School,
2099,,Trentham School,
2100,,Koraunui School,(Merger of 2870 and 3026)
2101,,Tautoro School,
2102,,Maromaku School,
2103,,Moerewa School,
2104,,Te Kura Kaupapa Maori O Taumarere ,
2105,,Awahono School - Grey Valley,"(Merger of 3272, 3439, 3446 and 3562)"
2106,,Paparoa Range School,
2107,,Geraldine Primary School,
2108,,Winchester Rural School,
2109,,Temuka Primary School,
2110,,Oceanview Heights School,
2111,,Grantlea Downs School,
2112,,Barton Rural School,
2113,,Bluestone School,
2114,,Beaconsfield School,
2115,,Timaru South School,
2116,,New River Primary,
2117,,Fernworth Primary School,
2118,,Newfield Park School,
2119,,Donovan Primary School,
2120,,Bluff School,Bluff Community School
2123,,Lake Brunner School,
2125,*,Coromandel Rudolf Steiner School (Closed),
2126,,Jean Seabrook Memorial School,
2150,,Ahititi School,
2151,*,Ararata School,
2152,,Auroa School,
2153,,Avon School,
2154,*,Awakino School,
2155,*,Awatuna School,
2156,*,Awhina School,
2157,,Bell Block School,
2158,*,Bird Road School,
2159,*,Cardiff School,
2160,,Central School Te Kura Waenga O Ngāmotu,Central School
2161,,Devon Intermediate,
2162,*,Douglas School,
2163,*,Dudley School,
2164,,Egmont Village School,
2165,,Eltham School,
2166,*,Finnerty Road School,
2167,,Fitzroy School,
2168,,Frankley School,
2169,*,Fraser Road School,
2170,*,Hawera Intermediate,"Closed 2022, being replaced by 961 Hāwera New Year 7-15 School"
2171,,Hawera Primary School,
2172,,Highlands Intermediate,
2173,,Huiakama School,
2174,*,Huinga School,
2175,,Huirangi School,
2176,*,Huiroa School,
2177,,Inglewood School,
2178,,Kaimata School,
2179,*,Kaimiro School,
2180,*,Kaponga School (Closed),
2181,*,Kapuni School,
2182,,Lepperton School,
2183,*,Mahoe School,
2184,*,Mahoenui School,
2185,,Makahu School,
2186,*,Manaia School (Taranaki),
2187,*,Mangamingi School,
2188,*,Mangatoki School,
2189,,Mangorei School,
2190,,Manukorihi Intermediate,
2191,,Marco School,
2192,,Marfell School,
2193,*,Matapu School (Closed),
2194,*,Matau School,
2195,,Matiere School,
2196,*,Mere Mere School,
2197,,Merrilands School,
2198,,Midhirst School,
2199,,Mimi School,
2200,,Mokau School,
2201,,Mokoia School,
2202,*,Motunui School,
2203,,Moturoa School,
2204,*,Newall School,
2205,,Ngaere School,
2206,,Norfolk School,
2207,,Normanby School,
2208,,Oakura School,
2209,*,Oaonui School,
2210,*,Oeo School,
2211,*,Ohangai School,
2212,*,Okaiawa School,
2213,*,Okato Primary School,
2214,,Omata School,
2215,,Ongarue School,
2216,,Opunake School,
2217,*,Otakeho School,
2218,*,Otangiwai School,
2219,*,Otunui School,
2220,,Pembroke School,
2221,*,Pihama School,
2222,*,Pukengahu School,
2223,,Puketapu School (New Plymouth),
2224,*,Pungarehu School,
2225,*,Rahotu School,
2226,,Ramanui School,
2227,,Ratapiko School,
2228,,Rawhitiroa School,
2229,*,Riverlea School,
2230,*,Roselyn School,
2231,*,Sacred Heart School (Manaia),
2232,,Spotswood Primary School,
2233,,St John Bosco School (New Plymouth),
2234,*,St Joseph's School (Eltham),
2235,,St Joseph's School (Hawera),
2236,,St Joseph's School (New Plymouth),
2237,,St Joseph's School (Opunake),
2238,,St Joseph's School (Stratford),
2239,,St Joseph's School (Waitara),
2240,,St Patrick's School (Kaponga),
2241,,St Patrick's School (Inglewood),
2242,,St Pius X School (New Plymouth),
2243,*,Stanley School,
2244,,Stratford Primary School,Stratford School
2245,*,Tahora School,
2246,*,Tarata School,
2247,*,Tariki School,
2248,,Tawhiti School,
2249,*,Te Kiri School,
2250,*,Te Roti School,
2251,,Tikorangi School,
2252,*,Tokaora School,
2253,,Tokirima School,
2254,,Toko School,
2255,,Turuturu School,
2256,,Urenui School,
2257,,Uruti School,
2258,,Vogeltown School,
2259,*,Waitaanga School,
2260,,Waitara Central School,
2261,,Waitara East School,
2262,,Waitoriki School,
2263,*,Warea School,
2264,,Welbourn School,
2265,,West End Te Kura O Morere,West End School (New Plymouth)
2266,,Westown School,
2267,,Whareorino School,
2268,,Woodleigh School,
2330,,Aberfeldy School,
2331,*,Alton School,
2332,,Aokautere School,
2333,,Apiti School,
2334,,Arahunga School,
2335,*,Aramoho School,
2336,,Aranui School (Wanganui),
2337,,Ashhurst School,
2338,,Awahou School,
2339,,Awapuni School (P.North),
2340,*,Awatapu School,
2341,,Bainesse School,
2342,,Brunswick School,
2343,,Bulls School,
2344,,Bunnythorpe School,
2345,,Carlton School,
2346,,Castlecliff School,
2347,*,Cheltenham School,
2348,,Churton School,
2349,,Clifton School (Bulls),
2350,,Cloverlea School,
2351,,Te Kura Kaupapa Maori O Otepoti,
2352,,Coley Street School,
2353,,College Street Normal School,
2354,,Colyton School,
2355,,Durie Hill School,
2356,,Feilding Intermediate,
2357,,Fordell School,
2358,,Foxton Beach School,
2359,,Foxton School,
2360,,Glen Oroua School,
2361,,Gonville School,
2362,,Halcombe Primary School,
2363,,Te Kura o Wairau,"Somerset Crescent School, Highbury School"
2364,,Hiwinui School,
2365,,Hokowhitu School,
2366,,Hunterville Consolidated School,
2367,*,Hurleyville School,
2368,,James Cook School,
2369,,Kai Iwi School,
2370,,Kairanga School,
2371,,Kaitieke School,
2372,,Kaitoke School (Wanganui),
2373,*,Kakahi School,
2374,,Kakaramea School,
2375,,Kakatahi School,
2376,*,Kauangaroa School,
2377,,Te Kura Kaupapa Maori O Tupoho,
2378,,Keith Street School,
2379,,Kimbolton School,
2380,*,Kirikau School,
2381,*,Kiwi Street School,
2382,,Kiwitea School,
2383,,Te Kura Kaupapa Maori O Ngati Ruanui,
2384,,Te Kura o Kokohuia,Kokohuia School
2385,,Kopane School,
2386,,Linton Camp School,
2387,,Linton Country School,
2388,,Longburn School,
2389,,Lytton Street School,
2390,,Manchester Street School,
2391,,Mangamahu Primary School,
2392,,Mangaweka School,
2393,,Manunui School,
2394,*,Manutahi School (Taranaki),
2395,,St Marcellin School (Wanganui),Marcellin School
2396,,Marton Junction School,
2397,,Marton School,
2398,,Mataroa School,
2399,*,Maxwell School,
2400,,Milson School,
2401,,Moawhango School,
2402,,Monrad - Te Kura Waenga o Tirohanga,Monrad Intermediate
2403,,Mosston School,
2404,,Mount Biggs School,
2405,,National Park School,
2406,,Newbury School,
2407,,Ngamatapouri School,
2408,*,Ngamatea School,
2409,,North Street School,
2410,,Ohakune School,
2411,*,Ohingaiti School,
2412,,Okoia School,
2413,,Orautoha School,
2414,,Oroua Downs School,
2415,*,Otairi School,
2416,,Our Lady of Lourdes School (P North),
2417,,Ōwhango School,Owhango School
2418,,Central Normal School,
2419,,Palmerston North Intermediate,
2420,,Papanui Junction School,
2421,*,Parewanui School,
2422,*,Parihauhau School,
2423,*,Parikino School,
2424,,Parkland School (P North),
2425,*,Patea School,
2426,*,Pipiriki School,
2427,*,Piriaka School,
2428,,Pukeokahu School,
2429,,Raetihi Primary School,
2430,*,Ranana School,
2431,*,Rangataua School,
2432,*,Rangiotu School,
2433,*,Rangitikei Intermediate,
2434,*,Rangiwaea School,
2435,*,Rangiwahia School,
2436,,Whare Kura Morehu o Ratana,"Te Kura o Ratana, Ratana School"
2437,,Riverdale School (P North),
2438,,Rongotea School,
2439,,Roslyn School,
2440,,Ross Intermediate,
2441,,Russell Street School,
2442,,Rutherford Junior High School,Rutherford Intermediate
2443,,Sanson School,
2444,*,Santoft School,
2445,,TKKM o Ngati Kahungunu Ki Heretaunga,
2446,,South Makirikiri School,
2447,,St Anne's School (Wanganui),
2448,*,St.Dominic's School For Deaf,
2449,,St James School (P North),
2450,,St Johns Hill School,St John's Hill School
2451,,St Joseph's School (Feilding),
2452,,St Joseph's School (Patea),
2453,,St Joseph's School (Taihape),
2454,,St Mary's School (Wanganui),
2455,,St Mary's School (Foxton),
2456,,St Matthew's School (Marton),
2457,,St Mary's School (P North),
2458,*,Taihape School,
2459,*,Taikorea School,
2460,,Takaro School,
2461,,Tangimoana School,
2462,,Taonui School,
2463,,Taoroa School,
2465,,Tawhero School,
2466,,Terrace End School,
2467,,Turitea School,Tiritea School
2468,,Turakina School,
2469,,Upokongaro School,
2470,*,Utiku School,
2471,*,Utuwai School,
2472,,Waiouru School,
2473,*,Waitohi School,
2474,,Waitotara School,
2475,,Waituna West School,
2476,,Whanganui East School,Wanganui East School
2477,,Whanganui Intermediate,Wanganui Intermediate
2478,,Waverley Primary School,
2479,,West End School (P North),
2480,,Westmere School (Wanganui),
2481,,Whakarongo School,
2482,,Whangaehu School,
2483,,Whenuakura School,
2484,,Winchester School (P North),
2540,*,Anderson Park School,
2541,*,Ardkeen School,
2542,,Argyll East School,
2543,,Arthur Miller School,
2544,,Awapuni School (Gisborne),
2545,*,Awariki School,
2546,,Bledisloe School,
2547,,Bridge Pa School,
2548,,Camberley School,
2549,,Clive School,
2550,,Cobham School,
2551,*,Crownthorpe School,
2552,*,Dannevirke North School,
2553,,Dannevirke South School,
2554,,Ebbett Park School,
2555,,Elgin School,
2556,,Elsthorpe School,
2557,,Eskdale School,
2558,,Fairhaven School (Napier),
2559,*,Flaxmere Intermediate,
2560,,Flaxmere Primary School,
2561,,Flemington School (Waipukurau),
2562,,Frasertown School,
2563,,Frimley School,
2564,,Gisborne Central School,
2565,*,Te Kainga Whaiora Children's Health Camp,
2566,,Gisborne Intermediate,
2567,,Greenmeadows School,
2568,*,Hangaroa School,
2569,,Hastings Central School,
2570,,Hastings Intermediate,
2571,,Haumoana School,
2572,,Havelock North Intermediate,
2573,,Havelock North Primary School,
2574,,Henry Hill School,
2575,,Heretaunga Intermediate,
2576,*,Hillcrest School (Dannevirke) (Closed),
2577,*,Hillneath School,
2578,,Hiruharama School,
2579,*,Hopelands School,(Merged into 2589)
2580,*,Ihungia School,
2581,,Ilminster Intermediate,
2582,,Irongate School,
2583,*,Kahutia School,
2584,,Kaiti School,
2585,,Kereru School,
2586,*,Kokako School,
2587,,Kotemaori School,
2588,,Kowhai School,
2589,*,Kumeroa-Hopelands School (CLOSED),Kumeroa School; Merged into 601
2590,,Lucknow School,
2592,,Mahora School,
2593,,Makaraka School,
2594,,Makarika School,
2595,,Makauri School,
2596,*,Mangaorapa School,"Merged with 2646, new school 730"
2597,,Mangapapa School,
2598,*,Mangatahi School,
2599,,Mangateretere School,
2600,,Te Kura Kaupapa Maori O Mangatuna,
2601,*,Manutahi School (Ruatoria),
2602,,Manutuke School,
2603,*,Maraekakaho School (closed),
2604,,Maraenui Bilingual School (Napier),
2605,*,Maraetotara School,
2606,,Marewa School,
2608,*,Maru Maru School,
2609,,Mata School,
2610,*,Matamau School,
2611,,Matawai School,
2612,,Mayfair School,
2613,,Meeanee School,
2614,*,Mohaka School (Closed),
2615,*,Motea School,
2616,,Motu School,
2617,,Muriwai School,
2618,,Napier Central School,
2619,,Napier Intermediate,
2620,,Nelson Park School,
2621,,Ngatapa School,
2622,,Norsewood and Districts School,Norsewood School
2623,*,North Clyde School,
2624,,Nuhaka School,
2625,,Ohuka School,
2626,,Omahu School,
2627,,Omakere School,
2628,,Onekawa School,
2629,,Ongaonga School,
2630,*,Opoutama School,
2631,,Ormond School,
2632,*,Ormondville School,
2634,,Otane School,
2635,*,Otoko School,
2636,*,Oueroa School,
2637,,Te Kura o Pakipaki,Paki Paki School
2638,,Pakowhai School,
2640,,Papatawa School,
2641,,Parkvale School,
2642,,Patoka School,
2643,,Patutahi School,
2644,,Peterhead School,
2645,*,Pirimai School,
2646,*,Porangahau School (Closed),"Merged with 2596, new school 730"
2647,,Porritt School,
2648,,Port Ahuriri School,
2649,,Potaka School,
2650,,Poukawa School,
2651,,Pukehamoamoa School,
2652,,Pukehou School,
2653,*,Pukeora Home School (Phys.H'capped),
2654,,Puketapu School (Hawkes Bay),
2655,*,Puketitiri School (CLOSED),
2656,*,Punawaitai School,
2657,,Putere School,
2658,,Putorino School,
2659,,TKKM o Tapere-Nui-A-Whatonga,
2660,*,Raukawa School,
2661,*,Raupunga School,
2662,,Raureka School,
2663,,Reignier Catholic School,Reignier School (Taradale)
2664,,Rere School,
2665,,Richmond School (Napier),
2666,*,Rissington School,
2667,,Riverdale School (Gisborne),
2668,*,Riverslea School,Closed 2019
2669,,Ruahine School,
2670,*,Ruakituri School,
2671,*,Rua Roa School,
2672,,Sherenden and Districts School,
2673,,Sherwood School (Hawkes Bay),
2674,*,Springhill School,
2675,*,St Columba's School (Waipawa),
2676,,St Joseph's School (Dannevirke),
2677,,St Joseph's School (Hastings),
2678,,St Joseph's School (Waipukurau),
2679,,St Joseph's School (Wairoa),
2680,,St Mary's Catholic School (Gisborne),
2681,,St Mary's School (Hastings),
2683,*,Tahunga School,
2684,,Takapau School,
2685,,Tamatea Intermediate,
2686,,Tamatea School,
2687,,Taradale Intermediate,
2688,,Taradale School,
2689,*,Tareha School,
2690,*,Tauwhareparae School,
2691,,Te Awa School,
2692,,Te Hapara School,
2693,*,Te Haroto School,
2694,*,Te Hauke School,
2695,*,Te Karaka School,
2696,*,Te Mahia School (Closed),
2697,,Te Mata School (Havelock North),
2698,,Te Pohue School,
2699,*,Te Puia Springs School,
2700,*,Te Reinga School,
2701,,Te Wharau School (Gisborne),
2702,,The Terrace School (Waipukurau),
2703,,Tikitiki School,
2704,,Tikokino School,
2705,,Tiniroto School,
2706,,Hatea-A-Rangi,
2707,*,Tuai School,
2708,*,Tukemokihi School,
2709,*,Turiroa School,
2710,,Tutira School,
2711,,Twyford School,
2712,,Waerenga-O-Kuri School,
2713,*,Waiaruhe School,
2714,*,Waihua School,
2715,,Waikirikiri School,
2716,*,Waikoau School,
2717,*,Waikura Valley School,
2718,,Waimarama School,
2719,*,Waimata Valley School,
2720,*,Waingake School,
2721,,Wainui Beach School,
2722,*,Waipaoa Station School,
2723,,Waipawa School,
2724,*,TKKM o Waipiro,
2725,,Waipukurau School,
2727,*,Wairoa Intermediate,
2728,*,Wairoa Primary School (Closed),
2729,*,Waitahora School,
2730,*,Waiwhare School,
2731,*,Wallingford School,
2732,,Weber School,
2733,,Westshore School,
2734,*,Whakaangiangi School,
2735,*,Whakaki School,
2736,,Whangara School,
2737,*,Wharekahika School,
2738,*,Wharekopae School,
2739,,Te Kura Kaupapa Maori o Whatatutu,Te Kura o Whatatutu; previously Whatatutu School
2740,*,Willow Flat School,
2741,*,Wimbledon School,
2742,,Woodville School,
2743,*,Wycliffe Intermediate,
2745,,St Patrick's School (Napier),
2746,,Te Kura o Kimi Ora,Kimi Ora Community School
2747,,Hawke's Bay School for Teenage Parents,
2748,,Karanga Mai Young Parents College,
2749,,Te Whare Whai Hua Teenage Parent Centre,
2750,,Wairarapa Teen Parent Unit,Makoura College Teen Parent Unit
2751,,Te Whakatipuranga (Otumoetai TPU),
2752,,He Huarahi Tamariki,
2753,,Te Āhuru Mōwai,Rotorua School for Young Parents
2754,,Stratford High School Teen Parent Unit,
2755,,Titiro Whakamua,
2756,,Whakatipuria Teen Parent Unit,
2757,,He Mataariki School for Teen Parents,
2758,,Kawerau Teen Parent Unit,
2759,,Fraser High School TPU,Hamilton's Fraser High School TPU
2760,,Eden Campus,
2761,,Kimihia Parents' College,
2762,,Clendon Teen Parent Unit,
2800,*,Akitio School,
2801,,Alfredton School,
2802,,Arakura School,
2803,,Avalon School,
2805,,Ballance School,
2806,,Bellevue School (Newlands),
2807,,Belmont School (Lower Hutt),
2808,,Berhampore School,
2809,*,Bideford School,
2810,,Birchville School,
2811,,Blenheim School,
2812,,Bohally Intermediate,
2813,,Boulcott School,
2814,,Brandon Intermediate,
2815,*,Brentwood School,
2816,,Brooklyn School (Wellington),
2817,*,Brown Owl School,
2818,,Cannons Creek School,
2819,,Cardinal McKeefry School (Wilton),
2820,,Carterton School,
2821,,Cashmere Avenue School,
2822,*,Castlepoint School,
2823,,Crofton Downs Primary School,Chartwell School
2824,,Churton Park School,
2825,*,Clareville School,
2826,,Clifton Terrace Model School,
2827,,Clyde Quay School,
2828,,Corinna School,
2829,*,Cornwall Street School,(Merged into 1661)
2830,*,Coromandel Street School,
2831,,Dalefield School,
2832,,Discovery School,
2833,,Dyer Street School,
2834,,Eastern Hutt School,
2835,,Eketahuna School,
2836,,Epuni School,
2837,,Evans Bay Intermediate,
2838,,Fairfield School (Levin),
2839,,Fairhall School,
2840,,Featherston School,
2841,,Fergusson Intermediate (Trentham),Fergusson Intermediate
2842,,Fernlea School,
2843,,Fernridge School,
2844,,Fraser Crescent School,
2845,,Gladstone School (Masterton),
2846,,Pukeatua Primary School (Wainuiomata),Glendale School
2847,,Glenview School (Porirua East),
2848,,Gracefield School,
2849,,Greenacres School,
2850,,Greytown School,
2851,,Grovetown School,
2852,,Hampton Hill School,
2853,*,Harley Street School,(Merged into 1660)
2854,,Hataitai School,
2855,,Havelock School,
2856,*,Hillcrest School (Pahiatua),Closed 2019
2857,*,Hinakura School,
2858,*,Hiona Intermediate,
2859,,Holy Family School (Porirua),
2860,*,Horoeka School,
2861,,Houghton Valley School,
2862,,Hutt Central School,
2863,,Hutt Intermediate,
2865,,Island Bay School,
2866,,Johnsonville School,
2867,,West Park School,
2868,,Kahutara School,
2869,*,Kaitawa School,
2870,*,Kamahi School,
2871,,Kapakapanui School,Kapanui School
2872,,Mahinawa Specialist School and Resource Centre,Kapi-Mana School
2873,,Kapiti School,
2874,,Karori Normal School,
2875,,Karori West Normal School,
2876,,Kelburn Normal School,
2877,,Kelson School,
2878,,Kenakena School,
2879,,Khandallah School,
2880,,Kilbirnie School,
2881,*,Kohinui School,(Merged into 601)
2882,,Koputaroa School,
2883,,Korokoro School,
2884,*,Koromiko School,
2885,*,Lansdowne School,
2886,,Levin East School,
2887,,Levin Intermediate,
2888,,Levin North School,
2889,,Levin School,
2890,,Linden School,
2891,,Linkwater School,
2892,,Lyall Bay School,
2893,,Maidstone Intermediate,
2894,,Makara Model School,
2895,,Makuri School,
2896,,Manakau School,
2897,*,Mangamaire Country School,Mangamaire School
2898,*,Mangamutu School,
2899,,Mangaroa School,
2900,,Mangatainoka School,
2901,*,Manor Park School,
2902,,Te Kura o Hau Karetu,Maoribank School
2903,,Maraeroa School,
2904,,Holy Cross School (Miramar),
2905,*,Marshlands School,
2906,,Martinborough School,
2907,*,Masterton Central School,
2908,*,Masterton East School,
2909,,Masterton Intermediate,
2910,*,Masterton West School,
2911,,Mauriceville School,
2912,,Mayfield School (Blenheim),
2913,*,Merton Street School,
2914,*,Miki Miki School,
2915,,Miramar Central School,
2916,,Miramar North School,
2917,*,Miramar South School,(Merged into 660)
2918,,Mt Cook School (Wellington),
2919,*,Muhunoa East School,
2920,,Muritai School,
2921,,Naenae Intermediate,
2922,,Naenae School,
2923,,Natone Park School,
2924,,Newlands Intermediate,
2925,,Newlands School,
2926,,Newtown School,
2927,,Ngaio School,
2928,,Ngati Toa School,
2929,*,Nireaha School,
2930,,Normandale School,
2931,,Northland School,
2932,*,Ohariu Model School,
2933,,Ohau School,
2934,*,Okaramio School,
2935,*,Okautete School,
2936,,Opaki School,
2937,,Opiki School,
2938,*,Otaki Health Camp School,
2939,,Otaki School,
2940,*,Otonga School,
2941,,Our Lady of the Rosary School (Waiwhetu),Our Lady of Rosary School (Waiwhetu)
2942,,Owhiro Bay School,
2943,,Oxford Crescent School,
2944,,Paekākāriki School,Paekakariki School
2945,,Pahiatua School,
2946,,Papakowhai School,
2947,,Paparangi School,
2948,,Paraparaumu Beach School,
2949,,Paraparaumu School,
2950,,Paremata School,
2951,*,Parkway Intermediate,
2952,*,Parkway School,
2953,,Pauatahanui School,
2954,*,Pencarrow School,
2955,,Petone Central School,
2956,,Picton School,
2957,,Pinehaven School,
2958,,Pirinoa School,
2959,,Plateau School,
2960,,Plimmerton School,
2961,,Pomare School,
2962,,Pongaroa School,
2963,,Porirua East School,
2964,,Porirua School,
2965,,Poroutawhao School,
2966,,Postgate School,
2967,,Pukerua Bay School,
2968,,Maungaraki School,Puketiro School
2969,,Randwick School,
2970,,Rangikura School,
2971,,Rapaura School,
2972,,Raroa Normal Intermediate,
2973,,Rata Street School,
2974,,Raumati Beach School,Raumati School
2975,,Raumati South School,
2976,,Redwood School (Tawa),
2977,,Redwoodtown School,
2978,,Renwick School,
2979,,Rewa Rewa School,
2980,,Ridgway School,
2981,,Riverlands School,
2982,,Roseneath School,
2983,,Russell School (Porirua East),
2984,,Sacred Heart School (Petone),
2985,,Sacred Heart Cathedral School,Sacred Heart School (Thorndon)
2986,,San Antonio School (Eastbourne),
2987,,Seatoun School,
2988,,Seddon School,
2989,,Shannon School,
2990,,Silverstream School,
2991,,Solway School,
2992,,South End School,
2993,,South Featherston School,
2994,,South Wellington Intermediate,
2995,,Spring Creek School,
2996,,Springlands School,
2997,,St Annes School (Newtown),
2998,,St Anthony's School (Pahiatua),
2999,,St Anthony's School (Seatoun),
3000,,St Benedict's School (Khandallah),
3001,,St Bernadette's School (Naenae),
3002,,St Bernard's School (Brooklyn),
3003,*,St.Bernard's School (Lower Hutt),
3004,,St Brendan's School (Heretaunga),
3005,,St Brigids School (Johnsonville),
3006,,St Francis De Sales School (Is.Bay),
3007,,St Francis Xavier School (Tawa),
3008,,St Joseph's School (Levin),
3009,*,St Joseph's School (Picton),
3010,*,St Joseph's School (Shannon),
3011,,St Joseph's School (Upper Hutt),
3012,,St Mary's School (Blenheim),
3013,,St Mary's School (Carterton),
3014,*,St Matthew's School (Wainuiomata),
3015,,St Michael's School (Taita),
3016,,St Patrick's School (Masterton),
3017,,Our Lady of Kapiti School,St Patrick's School (Paraparaumu)
3018,,St Claudine Thevenet School,St Patrick's School (Wainuiomata)
3019,,St Patrick's School (Kilbirnie),
3020,,St Peter Chanel School (Otaki),
3021,,Sts Peter and Paul School (L.Hutt),
3022,,St Pius X School (Titahi Bay),
3023,,St Teresa's School (Featherston),
3024,,St Teresa's School (Karori),
3025,,St Theresa's School (Plimmerton),
