List of all schools sorted by school number (Includes closed schools),,,
The information in this document is up to date as at 31 August 2022,,,
,,,
Number,Closed,Name of School,Notes Or Old Name
631,,Kia Aroha College,(Merger of 556 and 1250)
632,,Tai Wananga,
633,,Kingsview School,
636,*,Silverstream Christian School Secondary,(Now part of 622)
639,,Pa Harakeke Teen Parent Unit,
641,,Te Wharekura o Nga Purapura o Te Aroha,Nga Purapura o Te Aroha
645,*,Wakatipu High Frankton Flats,Never opened with this number; Became school 374
647,,Bathgate Park School,(Merger of 526 and 3763)
648,,Carisbrook School,"(Merger of 3722, 3726 and 3810)"
651,,Te Whata Tau o Putauaki,
654,,Rolleston College,
655,,Kawerau Putauaki School,"Putauaki Continuing School; Merger of 1767, 1769 and 1915"
656,*,Upper Valley Middle School,
658,,Murupara Area School,(Merger of 165 and 1839)
660,,Kahurangi School,New School Miramar - Strathmore; Merger of 3027 and 2917
661,,Tarawera High School,Kawerau High School; Merger of 149 and 1768
670,,Nelson Teen Parent Unit,
671,,Waikato Montessori Education Centre,
674,,Levin Teen Parent Unit,
682,,Eden Christian Academy,
683,,Ao Tawhiti Unlimited Discovery,Unlimited - Discovery Merged School; Merger of 1635 and 483
684,,Te Waka Unua School,Merger of 3474 and 3601
685,,Waitakiri Primary School,Merger of 3306 and 3596
686,,Lyttelton Primary School,Lyttelton Merged School; Merger of 3423 and 3424
688,,Ormiston Primary School,
690,*,South Auckland Middle School,Closed 2018 - New state school is 876
691,*,Te Kura Hourua ki Whangaruru,
692,*,Te Kura Hourua o Whangarei Terenga Paraoa,Closed 2018 - New state school is 870
693,*,The Rise Up Academy,Closed 2018 - New state school is 879
694,*,Vanguard Military School,Closed 2018 - New state school is 854
695,,Seven Oaks Secondary School,
696,,Rāwhiti School,"Rawhiti School; Merger of 3311, 3344 and 3448"
701,*,Amana Christian School (Secondary),Merged with 1641 to form composite school
704,,Haeata Community Campus,
705,,Te Tipu Whenua o Pa Harakeke,Teen Parent Unit
706,,Te Pa o Rakaihautu,
707,,ACG Tauranga,
708,,Rototuna Junior High School,
709,,Ormiston Junior College,
710,,Rolleston Christian School,
712,,Te Rōhutu Whio,"Opening 2022, previously Rolleston East Primary School"
713,*,Middle School West Auckland,Closed 2018 - New state school is 877
714,*,Pacific Advance Secondary School,Closed 2018 - New state school is 874
715,*,Te Kapehu Whetu - Teina,Closed 2018 - New state school is 869
716,*,Te Kura Maori o Waatea,Closed 2018 - New state-integrated school is 880
717,,Whakatane Teen Parent Unit,
719,,Te Kura Kaupapa Maori o Te Orini ki Ngati Awa,
724,,Te Manawa ō Pāpāmoa,"Opening 2022, previously Te Okuroa Drive School"
725,,Scott Point Primary School,Opened 2021
728,,Meraki Montessori School,
729,,Northland College Teen Parent Unit,
730,,Porangahau School,
737,,Te Kura Kaupapa Maori o Horouta Wananga,Te Kura Kaupapa Maori o Te Horouta Wananga
738,,St Francis of Assisi Catholic School,
739,,Manukura,
742,,Te Kura o Te Whānau-a Apanui,Te Kaha Community School
743,,Holy Trinity Catholic Primary School,
744,*,Iqra Elementary,Iqra Academy - Closed 2020
746,,Te Kura Whakatipu o Kawarau,"Opening 2022, was Hanley's Farm Primary School"
747,,Te Kura O Take Kārara,Opened 2020
748,,Ngākōroa School,"Opening 2022, was Drury West Primary School"
750,*,Te Aratika Academy,Closed 2018 - New state school is 873
751,*,Te Kopuku High,Closed 2018 - New state school is 872
752,,Summit Point School,
764,,Ahutoetoe School,"Opening 2023, Milldale Primary School"
767,,Nukumea Primary School - Te Kura Tuatahi O Nukumea,"Opening 2023, Orewa North West Primary School"
774,,Matua Ngaru School,
778,,Aurora School Alternative,The Deep Green Bush School
779,,Fossil Bay School,Waiheke Island Steiner School
780,,Te Ao Marama School,
781,,Jireh Christian School,Jireh School; Opened 2018
787,,Peace Experiment,
831,*,Te Rangihakahaka Centre for Science and Technology,Closed 2018 - New state school is 871
832,*,Blue Light Senior Boys High School,Never opened
834,,ADDI Enrichment Academy,
840,,Central Auckland Specialist School,(Merger of 523 and 1517) Opened 2018
841,*,Turanga Tangata Rite,Never opened
842,*,Waatea High,Never opened
843,*,Vanguard Military School Christchurch,Never opened
844,*,City Senior School,Never opened
846,,Suzanne Aubert Catholic School,Opened 2021
847,,AGE School,Academy for Gifted Education
848,*,Rocket School,Closed 2021
849,,Ako Space,Ako
854,,Vanguard Military School,
858,,Cambridge West School,Opening 2024
869,,Te Kāpehu Whetū (Teina),
870,,Te Kāpehu Whetū (Tuakana),
871,,Te Rangihakahaka Centre for Science and Technology,
872,,Te Kōpuku High,
873,,Te Aratika Academy,
874,,Pacific Advance Secondary School,
876,,South Auckland Middle School,
877,,Middle School West Auckland,
878,,Te Wharekura o Ngāti Rongomai,
879,,Rise UP Academy,
880,,Waatea School,
881,,Tūranga Tangata Rite,Opened 2020
896,,Harbour Montessori College,
900,,A1 Student Limited,
902,,Auckland Senior College,
903,,Ko Taku Reo,"Opened 2020 (Merger of 503 and 519), Deaf Education Aotearoa New Zealand"
904,,Green School New Zealand,
921,,Crimson Global Academy,"Opened 2020, Crimson Online Academy"
932,,Te Kura ā Iwi o Pawarenga,"Opened 2020, Te Kura o Hata Maria (Pawarenga)"
941,,Iqra School,Opened 2020
946,,Motueka Steiner School,Opened 2021
949,,St Ignatius of Loyola Catholic College,Opening 2024
956,,Harvest Christian School,Opening 2022
958,,Liger Leadership Academy,Opened 2021
960,,TKKM o Tūtūtarakihi Kaitaia,Opening 2022
961,,Te Paepae o Aotea,Opening 2023
968,,3H School International,
972,,Home Schooling,
973,*,Estuary School (Lower Hutt),
974,*,Greymouth Special School,
975,*,Hunga Hunga School,
976,*,Ihuraua Primary School,
977,*,Kohi School,
978,*,Matarawa Special School,
979,*,Rotoehu School,
980,*,Sacred Heart Marist School,
981,*,Tarakohe School,
982,*,Taueru School,
983,*,Wesleydale Boys' Home,
984,*,Wharera Special School Group,
985,*,Tenison College,
986,*,St Thomas Girls High School,
987,*,St Patrick's College (Timaru),
988,*,Panguru High School,
989,*,St Mary's College (Greymouth),
990,*,St Mary's College (Chch),
991,*,St Catherines College (Invercargill),
992,*,St Benedicts College,
993,*,Southbridge District High School,
994,*,Redwood College,
995,*,Mercy College,
996,*,Marist College (Invercargill),
1000,,Ahipara School,
1001,,Aranga School,
1002,,Arapohue School,
1003,*,Ararua School,
1004,,Awanui School,
1005,*,Te Kura o Awarua,Awarua School
1006,*,Bay Of Islands Intermediate,
1007,,Blomfield Special School and Resource Ctre,
1008,,Dargaville Intermediate,
1009,,Dargaville Primary School,
1010,*,Donnellys Crossing School,
1011,,Glenbervie School,
1012,*,Helena Bay School,
1013,,Herekino School,
1014,,Hikurangi School,
1015,,Hora Hora School (Te Mai),Hora Hora School
1016,,Horeke School,
1017,,Hukerenui School Years 1-8,
1018,,Hurupaki School,
1019,,Kaeo School,
1020,,Kaihu Valley School,
1021,,Kaikohe East School,
1022,,Kaikohe Intermediate,
1023,,Kaikohe West School,
1024,,Kaingaroa School (Kaitaia),
1025,,Kaitaia Intermediate,
1026,,Kaitaia School,
1027,,Kaiwaka School,
1028,,Totara Grove School,
1029,,Kamo Intermediate,
1030,,Kamo School,
1031,,Karetu School,
1032,,Kaurihohore School,
1033,,Kawakawa Primary School,
1034,,Kerikeri Primary School,
1035,,Kohukohu School,
1036,,Kokopu School,
1037,,Mangamuka School,
1038,,Mangawhai Beach School,
1039,,Mangonui School,
1041,*,Maromaku School,
1042,,Matakohe School,
1043,,Matarau School,
1044,,Matauri Bay School,
1045,*,Te Kura o Matawaia,
1046,,Te Kura o Mātihetihe,Matihetihe School
1047,,Maungakaramea School,
1048,,Maungatapere School,
1049,,Maungaturoto School,
1050,,Maunu School,
1051,*,Moerewa School (Merged),
1052,,Morningside School,
1053,,Motatau School,
1054,*,Ngaiotonga Valley School,
1055,,Ngataki School,
1056,,Ngunguru School,
1057,*,Northland Health Camp School,
1058,,Ohaeawai School,
1059,,Okaihau Primary School,Okaihau School
1060,,Te Kura o Ōmanaia,Omanaia School
1061,,One Tree Point School,
1062,,Onerahi School,
1063,,Opua School,
1064,*,Orauta School,
1065,,Oromahoe School,
1066,,Oruaiti School,
1067,*,Oruawharo School,
1068,,Otaika Valley School,Otaika School
1069,,Te Kura o Otangarei,Otangarei School
1070,*,Otiria School,
1071,,Oturu School,
1072,,Paihia School,
1073,,Pakaraka School,
1074,,Pakiri School,
1075,,Pakotai School,
1076,,Pamapuria School,
1077,,Paparoa School,
1078,,Paparore School,
1079,*,Parakao School,
